"vaccines_are_safe","age","party","education","books","trump_approval","climate_change"
"Somewhat Agree",65,"Independent","Graduate degree",5,"Strongly Approve","Real and Caused by People"
"Strongly Agree",74,"Independent","Graduate degree",20,"Strongly disapprove","Real and Caused by People"
"Somewhat Agree",49,"Republican","Some college",1,"Strongly Approve","Real but not Caused by People"
"Somewhat Disagree",25,"Republican","Some college",0,"Strongly disapprove","Not Real At All"
"Strongly Disagree",22,"Democrat","Graduate degree",40,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",67,"Democrat","High school",50,"Somewhat disapprove","Real and Caused by People"
"Strongly Agree",25,"Democrat","College degree",5,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",76,"Independent","Other",0,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",30,"Independent","Some college",0,"Somewhat Approve","Real and Caused by People"
"Strongly Agree",21,"Independent","College degree",60,"Somewhat disapprove","Real and Caused by People"
"Strongly Agree",38,"Republican","College degree",13,"Strongly Approve","Real and Caused by People"
"Strongly Agree",59,"Republican","Graduate degree",3,"Somewhat Approve","Real and Caused by People"
"Strongly Agree",52,"Republican","High school",25,"Strongly Approve","Not Real At All"
"Neither Agree nor Disagree",21,"Democrat","Some college",0,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",38,"Democrat","College degree",0,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",53,"Independent","Some college",3,"Somewhat Approve","Real and Caused by People"
"Strongly Agree",51,"Independent","College degree",2,"Somewhat disapprove","Real and Caused by People"
"Strongly Agree",45,"Independent","Some college",28,"Neither approve nor disapprove","Not Real At All"
"Strongly Agree",40,"Democrat","Graduate degree",5,"Somewhat disapprove","Real and Caused by People"
"Somewhat Disagree",70,"Independent","College degree",1,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",58,"Democrat","Graduate degree",3,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",42,"Independent","College degree",5,"Somewhat disapprove","Real and Caused by People"
"Somewhat Agree",36,"Democrat","Graduate degree",3,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",40,"Independent","College degree",100,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",24,"Independent","College degree",10,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",75,"Democrat","College degree",6,"Strongly disapprove","Real and Caused by People"
"Strongly Disagree",68,"Republican","Some college",250,"Somewhat Approve","Real but not Caused by People"
"Strongly Agree",57,"Independent","College degree",4,"Strongly Approve","Real but not Caused by People"
"Somewhat Agree",64,"Republican","Graduate degree",0,"Strongly Approve","Not Real At All"
"Strongly Agree",56,"Independent","Graduate degree",12,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",33,"Democrat","Graduate degree",12,"Somewhat disapprove","Real but not Caused by People"
"Strongly Agree",40,"Independent","Some college",5,"Somewhat Approve","Real and Caused by People"
"Strongly Agree",57,"Republican","Some college",56,"Strongly Approve","Real but not Caused by People"
"Somewhat Agree",63,"Independent","College degree",3,"Somewhat disapprove","Real but not Caused by People"
"Strongly Agree",57,"Independent","Some college",52,"Somewhat Approve","Real and Caused by People"
"Strongly Agree",48,"Independent","College degree",12,"Somewhat Approve","Real and Caused by People"
"Somewhat Agree",55,"Independent","College degree",6,"Neither approve nor disapprove","Real and Caused by People"
"Strongly Agree",60,"Independent","Some college",40,"Strongly Approve","Not Real At All"
"Strongly Agree",59,"Independent","High school",0,"Strongly Approve","Real and Caused by People"
"Strongly Agree",51,"Democrat","Graduate degree",4,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",64,"Republican","College degree",3,"Strongly disapprove","Real and Caused by People"
"Strongly Disagree",75,"Democrat","High school",0,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",53,"Democrat","High school",2,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",65,"Republican","High school",0,"Strongly Approve","Real but not Caused by People"
"Somewhat Agree",40,"Republican","College degree",0,"Strongly Approve","Not Real At All"
"Strongly Agree",45,"Republican","College degree",0,"Somewhat Approve","Not Real At All"
"Strongly Agree",26,"Democrat","High school",15,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",64,"Independent","College degree",4,"Somewhat Approve","Real and Caused by People"
"Strongly Agree",36,"Independent","Graduate degree",5,"Strongly Approve","Not Real At All"
"Somewhat Agree",60,"Independent","Some college",3,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",64,"Independent","College degree",6,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",55,"Independent","College degree",2,"Strongly disapprove","Real and Caused by People"
"Strongly Agree",62,"Republican","College degree",5,"Strongly Approve","Real but not Caused by People"
"Strongly Agree",64,"Republican","Some college",1,"Somewhat Approve","Real but not Caused by People"
